ISIN;nom;ticker
FR0000312928;Publicis Bs02;PUBBS
FR0000346975;Acanthedevbsaoct09;ACBS2
FR0010170969;Euromedisoc0510;YEMG
FR0010202655;Deltaplu Bsar0710;DLTBR
FR0010203299;Oeneo Bsar2.5 0708;SBTBR
FR0010207811;Prod.Chim.Bs05Bsar;PCABS
FR0010286542;U10 Bsar 0313;UDIBR
FR0010292755;Eurofins Bsar 13;ERFBR
FR0010304733;Belvedere Bsar2014;BVDBR
FR0010329292;Daneelecbsar13;DANBR
FR0010333302;Orco Cv 1% 2013;ORCV
FR0010350280;Iliad Oceane0112;ILDOE
FR0010354670;Nexans Oceane 0113;YNEX
FR0010355644;HAVBSAAR2013;HAVBS
FR0010356535;Assystem Bsar 0713;ASSBR
FR0010379529;Devoteam Bsar1112;DVTBS
FR0010435438;Touaxbsar0312;TOUBR
FR0010452441;Get Sa Bs;GETBS
FR0010464487;Rhodia Oceane 2014;YRHA
FR0010480723;Pcasbsar1212;PCABR
FR0010489815;Oxymetal Bs12-09;OXYBS
FR0010502245;Aurea Oc0712;YAUR
FR0010532739;Theolia 2% 2014;YTEO
FR0010544734;Steria Osice;YRIA
FR0010551556;Sts Groupe Bs1110;STSBS
FR0010562058;HAVBSAAR2015;HAVBR
FR0010627109;VILMORIN OCEA0715;YRIN
FR0010632844;FONC INEA OC0114;YINE
FR0010876813;Cesar BS;CSABS
FR0010897082;Maurel et Prom BS;MAUBS
FR0010910562;Aviation Latecoere BS;LATBS
FR0011229566;Ubisoft BSA;UBIBS
FR0011398981;Logic instrum. BS;LOGBS
FR0011477116;Belvedere BSA ACT1;BVDBV
FR0011477124;Belvedere BSA ACT2;BVDBW
FR0011627900;Prolog BSAAR20;PRBS1
FR0011832237;PEUGEOT BSA 2017;UGBS
QS0011017603;CAC Petrole et Gaz;FROG
QS0011017637;CAC Materiaux de base;FRBM
QS0011017652;CAC Industries;FRIN
QS0011017686;CAC Biens de consommation;FRCG
QS0011017702;CAC Sante;FRHC
QS0011017736;CAC Services aux consommateurs;FRCS
QS0011017769;CAC Telecommunications;FRTEL
QS0011017785;CAC Services aux collectivites;FRUT
QS0011017801;CAC Finances;FRFIN
QS0011017819;CAC Distribution - Alimentation;FRFDR
QS0011017827;CAC Technologie;FRTEC
QS0011017835;CAC Distributeurs generalistes;FRGR
QS0011017843;CAC Producteurs de gaz et petrole;FROGP
QS0011017868;CAC Medias et publicite;FRMED
QS0011017884;CAC Voyages et Loisirs;FRTL
QS0011017983;CAC Gaz, Eau, Serv. aux collectivites;FRGWM
QS0011017991;CAC Batiment et Materiaux de construc.;FRCM
QS0011018007;CAC Aerospatial et Defense;FRAD
QS0011018023;CAC Banques;FRB
QS0011018072;CAC Electronique et equipement elec.;FREEE
QS0011018098;CAC Immobilier;FRRE
QS0011018106;CAC Ingenierie industrielle;FRIE
QS0011018114;CAC Finances - General;FRGF
QS0011018130;CAC Transport industriel;FRINT
QS0011018163;CAC Services supports;FRSS
QS0011018197;CAC Automobiles et equipementiers;FRAP
QS0011018205;CAC Boissons;FRBEV
QS0011018221;CAC Agro-alimentaire;FRFPR
QS0011018239;CAC Logiciels et services informatiques;FRSCS
QS0011018247;CAC Produits menagers;FRHG
QS0011018254;CAC Equipements de loisirs;FRLEG
QS0011018262;CAC Materiel et equip. informatiques;FRTHF
QS0011018270;CAC Articles personnels;FRPG
QS0011018296;CAC Hygiene Sante Cosmetiques;FRHES
QS0011018312;CAC Pharmacie et Biotechnologie;FRPB
AN8068571086;Schlumberger;SLB
FR0000030181;Fdl;FDL
FR0000031122;Air France - KLM;AF
FR0000031577;Virbac;VIRP
FR0000031684;Paris-Orleans;PAOR
FR0000031775;Vicat;VCT
FR0000033219;Altarea;ALTA
FR0000033409;Fonciere Lyonnaise;FLY
FR0000034639;Altran Techn.;ALT
FR0000035081;Icade;ICAD
FR0000035164;Beneteau;BEN
FR0000037947;Fimalac;FIM
FR0000038259;Eurofins Scient.;ERF
FR0000039299;Bollore;BOL
FR0000044448;Nexans;NEX
FR0000045072;Credit Agricole;ACA
FR0000050353;Lisi;FII
FR0000051070;Maurel Et Prom;MAU
FR0000051732;Atos;ATO
FR0000051807;Teleperformance;RCF
FR0000052292;Hermes Intl;RMS
FR0000052516;Vilmorin Cie;RIN
FR0000053225;Metropole Tv;MMT
FR0000053266;Sartorius Stedim Biotech;DIM
FR0000054470;Ubi Soft Entertain;UBI
FR0000054900;Tf1;TFI
FR0000060618;Rallye;RAL
FR0000062234;Financiere Odet;ODET
FR0000064578;Fonciere des Regions;FDR
FR0000064784;Fonc.Fin.Particip.;FFP
FR0000071946;Alten;ATE
FR0000073272;Safran;SAF
FR0000073298;Ipsos;IPS
FR0000077919;Jc Decaux Sa.;DEC
FR0000120073;Air Liquide;AI
FR0000120164;CGG;CGG
FR0000120172;Carrefour;CA
FR0000120222;Cnp Assurances;CNP
FR0000120271;Total;FP
FR0000120321;L'oreal;OR
FR0000120354;Vallourec;VK
FR0000120404;Accor;AC
FR0000120495;Somfy Intl;SO
FR0000120503;Bouygues;EN
FR0000120537;Lafarge;LG
FR0000120560;Neopost;NEO
FR0000120578;Sanofi;SAN
FR0000120628;Axa;CS
FR0000120644;Danone;BN
FR0000120685;Natixis;KN
FR0000120693;Pernod Ricard;RI
FR0000120859;Imerys;NK
FR0000120966;Bic;BB
FR0000120982;Ciments Francais;CMA
FR0000121014;Lvmh;MC
FR0000121121;Eurazeo;RF
FR0000121147;Faurecia;EO
FR0000121204;Wendel Invest.;MF
FR0000121220;Sodexo;SW
FR0000121253;Rubis;RUI
FR0000121261;Michelin;ML
FR0000121329;Thales;HO
FR0000121485;Kering;KER
FR0000121501;Peugeot;UG
FR0000121634;Colas;RE
FR0000121667;Essilor Intl;EI
FR0000121709;Seb;SK
FR0000121725;Dassault Aviation;AM
FR0000121881;Havas;HAV
FR0000121964;Klepierre;LI
FR0000121972;Schneider Electric;SU
FR0000124141;Veolia Environ.;VIE
FR0000124570;Plastic Omnium;POM
FR0000125007;Saint Gobain;SGO
FR0000125338;Cap Gemini;CAP
FR0000125346;Ingenico;ING
FR0000125486;Vinci;DG
FR0000125585;Casino Guichard;CO
FR0000125684;Zodiac Aerospace;ZC
FR0000127771;Vivendi;VIV
FR0000130007;Alcatel-Lucent;ALU
FR0000130213;Lagardere;MMB
FR0000130338;Valeo;FR
FR0000130395;Remy Cointreau;RCO
FR0000130403;Christian Dior;CDI
FR0000130452;Eiffage;FGR
FR0000130577;Publicis Groupe;PUB
FR0000130650;Dassault Systemes;DSY
FR0000130809;Societe Generale;GLE
FR0000131104;Bnp Paribas;BNP
FR0000131708;Technip;TEC
FR0000131757;Eramet;ERA
FR0000131906;Renault;RNO
FR0000133308;Orange;ORA
FR0000184798;Orpea;ORP
FR0004035913;Iliad;ILD
FR0004188670;Tarkett;TKTT
FR0004254035;Euler Hermes Group;ELE
FR0004548873;Bourbon;GBB
FR0005025004;Cic Cat.A;CC
FR0006174348;Bureau Veritas;BVI
FR0010040865;Gecina Nom.;GFC
FR0010096479;Biomerieux;BIM
FR0010112524;Nexity;NXI
FR0010208488;GDF Suez;GSZ
FR0010220475;Alstom;ALO
FR0010221234;Eutelsat Com.;ETL
FR0010241638;Mercialys;MERY
FR0010242511;EDF;EDF
FR0010259150;Ipsen;IPN
FR0010307819;Legrand SA;LR
FR0010313833;Arkema;AKE
FR0010340141;Adp;ADP
FR0010411983;Scor;SCR
FR0010451203;Rexel;RXL
FR0010533075;Groupe Eurotunnel;GET
FR0010613471;Suez Environnement;SEV
FR0010908533;Edenred;EDEN
FR0010918292;Technicolor;TCH
FR0011027143;Areva;AREVA
FR0011594233;Numericable;NUM
GA0000121459;Total Gabon;EC
GB0005405286;Hsbc Holdings;HSB
LU0088087324;SES Sa;SESG
NL0000226223;Stmicroelectronics;STM
NL0000235190;Airbus Group;AIR
US3696041033;General Electric;GNE
CH0038838394;Weatherford;WFT
GB0002374006;Diageo;DGE
GB0005405286;Hsbc Holdings;HSB
GB0033040113;Darty;DRTY
MA0000011488;Maroc Telecom;IAM
US0495131049;Atmel Corp.;AML
US1491231015;Caterpillar Inc;CATR
US18683K1016;Cliffs Natural Resources;CLF
US19122T1097;Coca-Cola Enterprises;CCE
US2605431038;Dow Chemical;DOWCP
US2635341090;Du Pont De Nemours;DUPP
US3453708600;Ford Motor;FORDP
US3696041033;General Electric;GNE
US4282911084;Hexcel Corp.;HXL
US4509111021;ITT Corporation;ITT
US7181721090;Philip Morris Intl;PM
US7427181091;Procter Gamble;PGP
US9098832093;GDS Rusal;RUSAL
US9426222009;Watsco;WSO
ZAE000043485;Anglogold Ashanti;VA
BE0003470755;Solvay;SOLB
BE0003678894;Befimmo-Sicafi;BEFB
BE0003796134;Dexia;DEXB
IT0001210050;Giorgo Fedon;FED
IT0001389631;Beni Stabili;BNS
IT0001976403;Fiat Spa Ord.Rgp;FSOR
LU0088087324;SES Sa;SESG
LU0569974404;Aperam;APAM
NL0000289783;Robeco;ROBP
NL0000289817;Rolinco;ROLP
BE0160342011;Coil;ALCOI
BE0974267966;Medical Device Works;ALMDW
CA4433001084;H20 Innovation Inc.;ALHEO
ES0109429037;Antevenio;ALANT
ES0158252033;Lets Gowex;ALGOW
FR0000033888;Gevelot;ALGEV
FR0000035305;Bd Multi Media;ALBDM
FR0000035818;Esker;ALESK
FR0000037640;Rougier S.A.;ALRGR
FR0000044752;Adomos;ALADO
FR0000044810;Europlasma;ALEUP
FR0000044943;Logic Instrument;ALLOG
FR0000045122;Entreprendre;ALENR
FR0000051831;Groupe Guillin;ALGIL
FR0000052904;Kindy;KIND
FR0000053076;Ada;ALADA
FR0000054132;Delfingen;ALDEL
FR0000054421;Bricorama;ALBRI
FR0000054629;Cofidur;ALCOF
FR0000054652;Ales Groupe;ALPHY
FR0000061582;Siparex Croissance;ALSIP
FR0000061608;Piscines Desjoyaux;ALPDX
FR0000062184;Idsud;ALIDS
FR0000063653;Sical;ALSIC
FR0000066441;Poujoulat;ALPJT
